ds,key,topology,morph,L,kstar_true,n_hill,Dratio,slow_idx,sigma,frac_strict,frac_loose,frac_loose_only,kstar_cv
three_gene_test,sample_0000,cross_repress,spots,59.59159563212364,0.632624641833811,3.0,84.14892135506115,0,0.01,1.0,1.0,0.0,0.01144282396469681
three_gene_test,sample_0000,cross_repress,spots,59.59159563212364,0.632624641833811,3.0,84.14892135506115,0,0.048,0.995,0.995,0.0,0.02789112792096233
three_gene_test,sample_0000,cross_repress,spots,59.59159563212364,0.632624641833811,3.0,84.14892135506115,0,0.1,0.8925,0.8925,0.0,0.060008134277530205
three_gene_test,sample_0000,cross_repress,spots,59.59159563212364,0.632624641833811,3.0,84.14892135506115,0,0.2,0.7275,0.7425,0.015,0.1152661931125998
three_gene_test,sample_0001,relay_chain,spots,89.31680119229944,0.42208309455587395,2.0,80.28802947766079,0,0.01,1.0,1.0,0.0,0.017848579204874128
three_gene_test,sample_0001,relay_chain,spots,89.31680119229944,0.42208309455587395,2.0,80.28802947766079,0,0.048,0.985,1.0,0.015,0.030523037160044925
three_gene_test,sample_0001,relay_chain,spots,89.31680119229944,0.42208309455587395,2.0,80.28802947766079,0,0.1,0.855,1.0,0.145,0.05428748992415675
three_gene_test,sample_0001,relay_chain,spots,89.31680119229944,0.42208309455587395,2.0,80.28802947766079,0,0.2,0.665,0.9625,0.2975,0.10535684024950036
three_gene_test,sample_0002,double_inhibitor,spots,207.74960182586813,0.18146418338108883,2.0,129.78377541816386,0,0.01,1.0,1.0,0.0,0.03598812262910592
three_gene_test,sample_0002,double_inhibitor,spots,207.74960182586813,0.18146418338108883,2.0,129.78377541816386,0,0.048,1.0,1.0,0.0,0.042599551676677165
three_gene_test,sample_0002,double_inhibitor,spots,207.74960182586813,0.18146418338108883,2.0,129.78377541816386,0,0.1,1.0,1.0,0.0,0.05925011150799348
three_gene_test,sample_0002,double_inhibitor,spots,207.74960182586813,0.18146418338108883,2.0,129.78377541816386,0,0.2,0.985,0.9925,0.0075,0.10671509046371416
three_gene_test,sample_0003,double_inhibitor,labyrinth,124.92513253291477,0.3017736389684814,2.0,239.52674789698364,0,0.01,1.0,1.0,0.0,0.024664984035803878
three_gene_test,sample_0003,double_inhibitor,labyrinth,124.92513253291477,0.3017736389684814,2.0,239.52674789698364,0,0.048,0.975,0.975,0.0,0.03151141753013449
three_gene_test,sample_0003,double_inhibitor,labyrinth,124.92513253291477,0.3017736389684814,2.0,239.52674789698364,0,0.1,0.805,0.805,0.0,0.054823806523556
three_gene_test,sample_0003,double_inhibitor,labyrinth,124.92513253291477,0.3017736389684814,2.0,239.52674789698364,0,0.2,0.6675,0.67,0.0025,0.1252595038541021
three_gene_test,sample_0004,double_inhibitor,spots,104.16180466962271,0.36192836676217766,3.0,200.50082871905025,0,0.01,1.0,1.0,0.0,0.019818640758491157
three_gene_test,sample_0004,double_inhibitor,spots,104.16180466962271,0.36192836676217766,3.0,200.50082871905025,0,0.048,1.0,1.0,0.0,0.029249229749118262
three_gene_test,sample_0004,double_inhibitor,spots,104.16180466962271,0.36192836676217766,3.0,200.50082871905025,0,0.1,0.955,1.0,0.045,0.06549612537873688
three_gene_test,sample_0004,double_inhibitor,spots,104.16180466962271,0.36192836676217766,3.0,200.50082871905025,0,0.2,0.805,0.97,0.165,0.12304866314466206
three_gene_test,sample_0005,double_inhibitor,spots,170.14742629655944,0.22156733524355304,3.0,188.86056803727405,0,0.01,1.0,1.0,0.0,0.0342414524061602
three_gene_test,sample_0005,double_inhibitor,spots,170.14742629655944,0.22156733524355304,3.0,188.86056803727405,0,0.048,0.8625,1.0,0.1375,0.0353469100224055
three_gene_test,sample_0005,double_inhibitor,spots,170.14742629655944,0.22156733524355304,3.0,188.86056803727405,0,0.1,0.695,1.0,0.305,0.047594773091665425
three_gene_test,sample_0005,double_inhibitor,spots,170.14742629655944,0.22156733524355304,3.0,188.86056803727405,0,0.2,0.5875,1.0,0.4125,0.09211532149994342
three_gene_test,sample_0006,double_inhibitor,spots,48.14630909695523,0.7830114613180517,4.0,239.55544107620005,0,0.01,1.0,1.0,0.0,0.006490000676517868
three_gene_test,sample_0006,double_inhibitor,spots,48.14630909695523,0.7830114613180517,4.0,239.55544107620005,0,0.048,0.99,1.0,0.01,0.02496157855188058
three_gene_test,sample_0006,double_inhibitor,spots,48.14630909695523,0.7830114613180517,4.0,239.55544107620005,0,0.1,0.91,1.0,0.09,0.05167141282494071
three_gene_test,sample_0006,double_inhibitor,spots,48.14630909695523,0.7830114613180517,4.0,239.55544107620005,0,0.2,0.67,0.98,0.31,0.10464574579313629
three_gene_test,sample_0007,double_inhibitor,spots,69.50521690078477,0.5423925501432665,3.0,32.20697033592608,0,0.01,1.0,1.0,0.0,0.014098660442951482
three_gene_test,sample_0007,double_inhibitor,spots,69.50521690078477,0.5423925501432665,3.0,32.20697033592608,0,0.048,0.8525,0.8525,0.0,0.02788490764916406
three_gene_test,sample_0007,double_inhibitor,spots,69.50521690078477,0.5423925501432665,3.0,32.20697033592608,0,0.1,0.6925,0.6925,0.0,0.057992176981440755
three_gene_test,sample_0007,double_inhibitor,spots,69.50521690078477,0.5423925501432665,3.0,32.20697033592608,0,0.2,0.595,0.5975,0.0025,0.11461265844964205
three_gene_test,sample_0008,relay_chain,labyrinth,104.16180466962271,0.36192836676217766,2.0,74.89133704312215,0,0.01,1.0,1.0,0.0,0.020726525420148127
three_gene_test,sample_0008,relay_chain,labyrinth,104.16180466962271,0.36192836676217766,2.0,74.89133704312215,0,0.048,0.87,0.87,0.0,0.026318781131716512
three_gene_test,sample_0008,relay_chain,labyrinth,104.16180466962271,0.36192836676217766,2.0,74.89133704312215,0,0.1,0.72,0.7275,0.0075,0.0455545278279613
three_gene_test,sample_0008,relay_chain,labyrinth,104.16180466962271,0.36192836676217766,2.0,74.89133704312215,0,0.2,0.5625,0.695,0.1325,0.0927982794950811
three_gene_test,sample_0009,substrate_depl,labyrinth,196.87251284204777,0.1914899713467049,2.0,95.81540462187033,0,0.01,1.0,1.0,0.0,0.013588562528459441
three_gene_test,sample_0009,substrate_depl,labyrinth,196.87251284204777,0.1914899713467049,2.0,95.81540462187033,0,0.048,1.0,1.0,0.0,0.03935353916069567
three_gene_test,sample_0009,substrate_depl,labyrinth,196.87251284204777,0.1914899713467049,2.0,95.81540462187033,0,0.1,0.9925,1.0,0.0075,0.061192038448236556
three_gene_test,sample_0009,substrate_depl,labyrinth,196.87251284204777,0.1914899713467049,2.0,95.81540462187033,0,0.2,0.88,1.0,0.12,0.10697638212593928
three_gene_test,sample_0010,relay_chain,labyrinth,73.5857785502861,0.5123151862464184,3.0,32.48380731781962,0,0.01,0.5375,1.0,0.4625,0.00299500915428356
three_gene_test,sample_0010,relay_chain,labyrinth,73.5857785502861,0.5123151862464184,3.0,32.48380731781962,0,0.048,0.53,1.0,0.47,0.02821837588274094
three_gene_test,sample_0010,relay_chain,labyrinth,73.5857785502861,0.5123151862464184,3.0,32.48380731781962,0,0.1,0.5075,1.0,0.4925,0.05095304786891786
three_gene_test,sample_0010,relay_chain,labyrinth,73.5857785502861,0.5123151862464184,3.0,32.48380731781962,0,0.2,0.4325,1.0,0.5675,0.10348912329771373
three_gene_test,sample_0011,double_inhibitor,spots,98.69395648696695,0.3819799426934098,3.0,170.17455647053444,0,0.01,1.0,1.0,0.0,0.0020755589139385354
three_gene_test,sample_0011,double_inhibitor,spots,98.69395648696695,0.3819799426934098,3.0,170.17455647053444,0,0.048,0.9675,1.0,0.0325,0.027962585167811485
three_gene_test,sample_0011,double_inhibitor,spots,98.69395648696695,0.3819799426934098,3.0,170.17455647053444,0,0.1,0.7875,1.0,0.2125,0.05233999473971805
three_gene_test,sample_0011,double_inhibitor,spots,98.69395648696695,0.3819799426934098,3.0,170.17455647053444,0,0.2,0.61,1.0,0.39,0.11504185775743109
three_gene_test,sample_0012,substrate_depl,labyrinth,78.17535269091718,0.48223782234957024,4.0,92.34686527512605,0,0.01,0.985,0.985,0.0,0.005236179193565788
three_gene_test,sample_0012,substrate_depl,labyrinth,78.17535269091718,0.48223782234957024,4.0,92.34686527512605,0,0.048,0.6975,0.6975,0.0,0.026809510116484463
