arm,key,seed,turing,kstar_fft_rel_err,rob_0.2,rob_0.1,morph
wide_init_nonoise,sample_0002,10,True,0.007297914123454088,0.9875,1.0,spots
wide_init_nonoise,sample_0002,11,True,0.007297914123454088,1.0,1.0,spots
posthoc_jitter,sample_0003,0,True,0.003146607046743605,0.98,1.0,spots
posthoc_jitter,sample_0003,1,False,0.9350805282987623,,,spots
posthoc_jitter,sample_0003,2,True,0.003146607046743605,0.9625,1.0,spots
posthoc_jitter,sample_0003,3,True,0.05833643853765559,0.6475,0.7725,spots
posthoc_jitter,sample_0003,4,False,0.10723305593508056,,,spots
posthoc_jitter,sample_0003,5,True,0.05833643853765559,0.985,1.0,spots
posthoc_jitter,sample_0003,6,True,0.05833643853765559,0.7225,0.93,spots
posthoc_jitter,sample_0003,7,True,0.003146607046743605,0.685,0.8275,spots
posthoc_jitter,sample_0003,8,False,0.22390593301039194,,,spots
posthoc_jitter,sample_0003,9,True,0.16871610151947986,0.94,1.0,spots
posthoc_jitter,sample_0003,10,True,0.11352627002856777,0.9525,0.9975,spots
posthoc_jitter,sample_0003,11,False,0.05833643853765559,,,spots
wide_init_nonoise,sample_0003,0,False,1.266219517244235,,,spots
wide_init_nonoise,sample_0003,1,False,0.9965635738831615,,,spots
wide_init_nonoise,sample_0003,2,True,0.3894754274831283,0.885,0.9925,spots
wide_init_nonoise,sample_0003,3,True,0.11352627002856777,0.4025,0.5025,spots
wide_init_nonoise,sample_0003,4,False,0.22390593301039194,,,spots
wide_init_nonoise,sample_0003,5,False,0.9965635738831615,,,spots
wide_init_nonoise,sample_0003,6,False,0.11352627002856777,,,spots
wide_init_nonoise,sample_0003,7,True,0.11352627002856777,0.825,0.9875,spots
wide_init_nonoise,sample_0003,8,True,0.11352627002856777,0.765,0.9575,spots
wide_init_nonoise,sample_0003,9,False,0.11352627002856777,,,spots
wide_init_nonoise,sample_0003,10,False,0.9965635738831615,,,spots
wide_init_nonoise,sample_0003,11,True,0.3279923818987291,0.94,0.9975,spots
posthoc_jitter,sample_0004,0,False,0.08178296223764334,,,labyrinth
posthoc_jitter,sample_0004,1,True,0.1452169100429987,1.0,1.0,labyrinth
posthoc_jitter,sample_0004,2,True,0.08846694197283822,0.83,0.9975,labyrinth
posthoc_jitter,sample_0004,3,True,0.08846694197283822,1.0,1.0,labyrinth
posthoc_jitter,sample_0004,4,True,0.1452169100429987,0.5375,0.6775,labyrinth
posthoc_jitter,sample_0004,5,True,0.08846694197283822,0.8925,0.9875,labyrinth
posthoc_jitter,sample_0004,6,False,0.9964664310954063,,,labyrinth
posthoc_jitter,sample_0004,7,False,0.9964664310954063,,,labyrinth
posthoc_jitter,sample_0004,8,False,0.2019668781131592,,,labyrinth
posthoc_jitter,sample_0004,9,True,0.025032994167482753,0.985,1.0,labyrinth
posthoc_jitter,sample_0004,10,True,0.13853293030780373,0.8375,0.9975,labyrinth
posthoc_jitter,sample_0004,11,True,0.031716973902677636,0.755,0.9175,labyrinth
wide_init_nonoise,sample_0004,0,False,0.9964664310954063,,,labyrinth
wide_init_nonoise,sample_0004,1,False,0.08846694197283822,,,labyrinth
wide_init_nonoise,sample_0004,2,True,0.08846694197283822,0.7475,0.9025,labyrinth
wide_init_nonoise,sample_0004,3,False,0.9964664310954063,,,labyrinth
wide_init_nonoise,sample_0004,4,False,0.9964664310954063,,,labyrinth
wide_init_nonoise,sample_0004,5,False,0.9964664310954063,,,labyrinth
wide_init_nonoise,sample_0004,6,False,0.9964664310954063,,,labyrinth
wide_init_nonoise,sample_0004,7,True,0.37221678232364075,0.6375,0.695,labyrinth
wide_init_nonoise,sample_0004,8,True,0.2019668781131592,0.9425,1.0,labyrinth
wide_init_nonoise,sample_0004,9,False,0.031716973902677636,,,labyrinth
wide_init_nonoise,sample_0004,10,False,0.9964664310954063,,,labyrinth
wide_init_nonoise,sample_0004,11,True,0.031716973902677636,0.85,0.995,labyrinth
posthoc_jitter,sample_0005,0,False,0.09399395334145569,,,labyrinth
posthoc_jitter,sample_0005,1,True,0.15414466856188797,0.4625,0.6875,labyrinth
posthoc_jitter,sample_0005,2,True,0.026307477099408946,0.65,0.8725,labyrinth
posthoc_jitter,sample_0005,3,True,0.033843238121023425,0.7575,0.945,labyrinth
posthoc_jitter,sample_0005,4,True,0.09399395334145569,0.54,0.7675,labyrinth
posthoc_jitter,sample_0005,5,True,0.09399395334145569,0.675,0.855,labyrinth
posthoc_jitter,sample_0005,6,False,0.09399395334145569,,,labyrinth
posthoc_jitter,sample_0005,7,False,0.9962546816479401,,,labyrinth
posthoc_jitter,sample_0005,8,True,0.5676639140832994,0.795,0.9675,labyrinth
posthoc_jitter,sample_0005,9,False,0.9962546816479401,,,labyrinth
posthoc_jitter,sample_0005,10,False,0.21429538378232033,,,labyrinth
posthoc_jitter,sample_0005,11,True,0.026307477099408946,0.5375,0.695,labyrinth
wide_init_nonoise,sample_0005,0,False,0.9962546816479401,,,labyrinth
wide_init_nonoise,sample_0005,1,False,0.9962546816479401,,,labyrinth
wide_init_nonoise,sample_0005,2,False,0.6955011055457786,,,labyrinth
wide_init_nonoise,sample_0005,3,False,0.15414466856188797,,,labyrinth
wide_init_nonoise,sample_0005,4,False,0.9962546816479401,,,labyrinth
wide_init_nonoise,sample_0005,5,False,0.9962546816479401,,,labyrinth
wide_init_nonoise,sample_0005,6,False,0.9962546816479401,,,labyrinth
wide_init_nonoise,sample_0005,7,False,0.9962546816479401,,,labyrinth
wide_init_nonoise,sample_0005,8,False,0.9962546816479401,,,labyrinth
wide_init_nonoise,sample_0005,9,True,0.033843238121023425,1.0,1.0,labyrinth
wide_init_nonoise,sample_0005,10,True,0.033843238121023425,0.8325,0.9875,labyrinth
wide_init_nonoise,sample_0005,11,True,0.033843238121023425,0.7975,0.9675,labyrinth
posthoc_jitter,sample_0006,0,True,0.18887023503851474,0.545,0.61,labyrinth
posthoc_jitter,sample_0006,1,False,0.2718743827770096,,,labyrinth
posthoc_jitter,sample_0006,2,False,0.20605372308907757,,,labyrinth
posthoc_jitter,sample_0006,3,True,0.05722891566265068,0.9925,1.0,labyrinth
posthoc_jitter,sample_0006,4,True,1.7027454078609523,0.995,1.0,labyrinth
posthoc_jitter,sample_0006,5,True,0.14023306340114552,0.78,0.9325,labyrinth
posthoc_jitter,sample_0006,6,False,0.2718743827770096,,,labyrinth
posthoc_jitter,sample_0006,7,True,0.07441240371321338,0.83,0.9475,labyrinth
posthoc_jitter,sample_0006,8,True,0.00859174402528135,0.9925,1.0,labyrinth
posthoc_jitter,sample_0006,9,True,0.14023306340114552,0.63,0.8275,labyrinth
posthoc_jitter,sample_0006,10,False,0.5837941931661071,,,labyrinth
posthoc_jitter,sample_0006,11,True,0.05722891566265068,0.42,0.7125,labyrinth
wide_init_nonoise,sample_0006,0,True,0.07441240371321338,0.7175,0.8625,labyrinth
wide_init_nonoise,sample_0006,1,False,0.9959016393442623,,,labyrinth
wide_init_nonoise,sample_0006,2,False,0.14023306340114552,,,labyrinth
wide_init_nonoise,sample_0006,3,True,2.360952004740273,0.57,0.68,labyrinth
wide_init_nonoise,sample_0006,4,True,0.14023306340114552,0.4975,0.695,labyrinth
wide_init_nonoise,sample_0006,5,False,0.9959016393442623,,,labyrinth
wide_init_nonoise,sample_0006,6,True,0.2718743827770096,0.995,1.0,labyrinth
wide_init_nonoise,sample_0006,7,True,0.6009776812166698,0.2075,0.3575,labyrinth
wide_init_nonoise,sample_0006,8,False,0.7984396602804661,,,labyrinth
wide_init_nonoise,sample_0006,9,False,0.9959016393442623,,,labyrinth
wide_init_nonoise,sample_0006,10,True,0.07441240371321338,0.8575,0.97,labyrinth
wide_init_nonoise,sample_0006,11,True,0.2718743827770096,0.7025,0.9025,labyrinth
