key,morph,topo,kstar_true,kstar_fft,sigma_train,seed,loss,turing,kstar_model,sigma_max_model,s0,Dratio,kstar_rel_err,kstar_fft_rel_err,rob_0.01,kcv_0.01,rob_0.048,kcv_0.048,rob_0.1,kcv_0.1,rob_0.2,kcv_0.2
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,0,1.7519390893432314e-10,True,0.2740240963855422,0.05615075771871503,-0.13249357890248034,335.0548409942371,0.13411692426391011,0.028283346150559465,1.0,0.00651636116542561,1.0,0.02791376226853404,1.0,0.044453566162722884,0.945,0.08784291473561
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,1,7.89029126150853e-11,True,0.2740240963855422,0.54094698153121,-0.08282605902345092,961.8799132423787,0.13411692426391011,0.028283346150559465,1.0,0.021689758343723206,0.9975,0.030807950802439758,0.9575,0.0526261544145941,0.8275,0.09923413410147651
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,2,3.684461223497531e-10,True,0.2740240963855422,0.17524745471905234,-1.2673826215525714,298.50798139622475,0.13411692426391011,0.028283346150559465,1.0,2.0257762716296166e-16,1.0,0.025408616656048197,1.0,0.047184809123779384,0.97,0.09511168114180193
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,3,3.2448178523717892e-12,True,0.2740240963855422,0.15151747832844364,-0.6040205375559217,925.7624800125512,0.13411692426391011,0.028283346150559465,1.0,2.0257762716296166e-16,1.0,0.02486713989741403,1.0,0.04946451899042996,0.965,0.09766593764939623
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,4,2.540987336266656e-11,True,0.2740240963855422,0.4555846941201551,-0.14272575859822895,288.0951950572933,0.13411692426391011,0.028283346150559465,1.0,2.0257762716296166e-16,1.0,0.026435892636439497,0.9975,0.04889335528989602,0.915,0.09400467970154076
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,5,2.6271638169429505e-09,True,0.2740240963855422,0.22467631589117598,-0.014746013012512355,226.56244850158296,0.13411692426391011,0.028283346150559465,1.0,0.029815906587007942,0.9225,0.030735961975555406,0.7725,0.04798837266996147,0.66,0.08605166545447474
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,6,1.085646256189927e-11,True,0.2740240963855422,0.05013027442608475,-0.036702534810760856,449.35631137637506,0.13411692426391011,0.028283346150559465,1.0,0.004132687783169106,0.9775,0.029138233485028708,0.74,0.05574615274384983,0.4075,0.10152999697203122
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,7,4.816028852628833e-10,True,0.25796385542168676,0.16919663302436305,-0.0696209068669108,1320.5504289145667,0.0676476198300465,0.08523455524224544,1.0,2.1518964794705528e-16,1.0,0.030301647290679037,1.0,0.05345145698864431,0.9625,0.09558189604157125
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,8,1.394693657122778e-13,True,0.25796385542168676,0.1264088616646717,-0.06939689938976057,3989.5192732947194,0.0676476198300465,0.08523455524224544,1.0,0.0069223709067187025,1.0,0.04120212305172999,1.0,0.08134020310128316,0.98,0.1428663520190897
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,9,9.0103906580032e-12,True,0.25796385542168676,0.05100428608441021,-0.45842663060385647,2193.0761312539644,0.0676476198300465,0.08523455524224544,1.0,2.1518964794705528e-16,1.0,0.02844675892778779,1.0,0.05353957018842388,0.995,0.10744459630142868
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,10,1.4241096346883718e-12,True,0.2740240963855422,0.040498747659551526,-0.07588927326299988,1174.521986093209,0.13411692426391011,0.028283346150559465,1.0,0.005834928111063714,1.0,0.030607871854657503,0.9825,0.052309808131455374,0.82,0.09717751728667857
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.0,11,6.827356453356385e-11,True,0.25796385542168676,0.19651594119707383,-0.14755503431778938,2177.952040657421,0.0676476198300465,0.08523455524224544,1.0,2.1518964794705528e-16,1.0,0.027100240563605868,1.0,0.04740493716163759,1.0,0.09655371475030217
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,0,7.295181564295275e-08,True,0.2740240963855422,0.25454919459870773,-0.03661891658422187,206.13991130369746,0.13411692426391011,0.028283346150559465,1.0,2.0257762716296166e-16,0.945,0.02152404515517387,0.7625,0.04596985338713643,0.6275,0.08378861883416165
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,1,0.0009750570194400109,True,0.25796385542168676,0.004455495852660363,-0.2714852854010167,638.3070914625578,0.0676476198300465,0.08523455524224544,1.0,2.1518964794705528e-16,0.885,0.02425045511747657,0.695,0.046724851377646724,0.62,0.0823228322490632
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,2,1.7449804514141722e-07,True,0.25796385542168676,0.047699453536504066,-0.07096957663044046,786.4346780498538,0.0676476198300465,0.08523455524224544,1.0,2.1518964794705528e-16,1.0,0.02748484720065933,0.9975,0.0459116010906245,0.97,0.08617699277998182
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,3,1.68826899507936e-07,True,0.24190361445783135,0.032617986450702574,-0.471010225559114,2454.724738956597,0.0011783153961830025,0.14218576433393132,1.0,0.02393410934934594,1.0,0.03114523918456304,1.0,0.050345523727826906,0.9875,0.08935736807425938
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,4,4.733689359455327e-08,True,0.25796385542168676,0.028698809701648287,-0.25750296846131276,493.3946750700583,0.0676476198300465,0.08523455524224544,1.0,2.1518964794705528e-16,1.0,0.023290724346119333,0.9975,0.0448616830409715,0.935,0.08515080640250308
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,5,7.314438247600547e-08,True,0.2740240963855422,0.15180579789008952,-0.015083714209222165,117.2654531987316,0.13411692426391011,0.028283346150559465,1.0,0.016646260166672786,0.935,0.03433137966197478,0.7875,0.061333946229456135,0.6725,0.12118395306787828
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,6,2.0627512172520526e-07,True,0.25796385542168676,0.05405722550722203,-0.5310420083709304,548.0656498995843,0.0676476198300465,0.08523455524224544,1.0,0.02958518012856713,1.0,0.03064958620836318,1.0,0.04420576554912255,0.97,0.08716823696411166
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,7,4.737807106539538e-07,True,0.24190361445783135,0.17861886630657864,-0.01969504293223512,1663.5606540594429,0.0011783153961830025,0.14218576433393132,1.0,0.003315952075644477,0.9975,0.03252191782468459,0.8925,0.06768314823606209,0.7775,0.12715538333677812
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,8,6.169149412583556e-09,True,0.2740240963855422,0.08687929668266037,-0.20145367190599472,1356.8200974417,0.13411692426391011,0.028283346150559465,1.0,0.015015479569016867,1.0,0.03054638009647683,1.0,0.05086084807731585,0.9875,0.09844582176424949
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,9,9.342245947356606e-08,True,0.2740240963855422,0.23284283592906263,-0.14649863125294432,525.1584132001176,0.13411692426391011,0.028283346150559465,1.0,2.0257762716296166e-16,1.0,0.026364395952427205,1.0,0.04615916612961214,0.99,0.08587701093200321
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,10,8.263763993620463e-09,True,0.2740240963855422,0.08926645010330958,-0.3230020854356557,1396.7572203486795,0.13411692426391011,0.028283346150559465,1.0,0.021113163107887963,1.0,0.030981334812626684,1.0,0.050644711753402384,0.985,0.10776766095338827
sample_0000,stripes,double_inhibitor,0.24161891117478512,0.282,0.05,11,1.6912552906620106e-05,True,0.2740240963855422,0.08542503578737559,-0.007558410285924633,41.37990899617874,0.13411692426391011,0.028283346150559465,0.9675,2.0257762716296166e-16,0.6075,0.028383717912398063,0.4475,0.057176321193049745,0.285,0.09336117300843812
