ds,key,topology,morph,L,kstar_true,n_hill,Dratio,slow_idx,base_rob_10,imm_slow_ok,imm_slow_rob,imm_mid_ok,imm_mid_rob,imm_fast_ok,imm_fast_rob
three_gene_train,sample_0014,relay_chain,labyrinth,149.81087212190351,0.25164469914040116,2.0,112.96048919882867,0,0.7575,True,0.7575,True,0.5725,False,0.0
three_gene_train,sample_0015,substrate_depl,labyrinth,149.81087212190351,0.25164469914040116,4.0,154.66321780165774,0,0.9825,True,0.9825,True,0.9825,False,0.0
three_gene_train,sample_0016,selfinhib,spots,101.35418939107365,0.37195415472779375,3.0,232.3605284551253,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0017,selfinhib,labyrinth,129.2181303597923,0.2917478510028654,2.0,214.4912282059275,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0018,cross_repress,stripes,70.81417271219,0.5323667621776504,2.0,50.76230789992461,0,0.8675,True,1.0,False,0.0,False,0.0
three_gene_train,sample_0019,double_inhibitor,labyrinth,89.31680119229944,0.42208309455587395,3.0,223.3253561509775,0,1.0,True,1.0,False,0.0,True,1.0
three_gene_train,sample_0020,selfinhib,labyrinth,101.35418939107365,0.37195415472779375,3.0,105.63413316271894,0,0.9725,True,0.99,False,0.0,True,0.9725
three_gene_train,sample_0021,cross_repress,spots,107.12939919906569,0.3519025787965616,3.0,35.76371855346136,0,0.915,True,1.0,True,0.9125,False,0.0
three_gene_train,sample_0022,cross_repress,spots,149.81087212190351,0.25164469914040116,2.0,158.06588806745424,0,0.8525,True,1.0,False,0.0,False,0.0
three_gene_train,sample_0023,substrate_depl,labyrinth,51.439501881466796,0.7328825214899715,4.0,34.319112515794245,0,0.62,True,1.0,False,0.0,True,0.7425
three_gene_train,sample_0024,relay_chain,labyrinth,178.21138366519548,0.21154154727793698,2.0,164.62828171101597,0,0.99,True,0.99,True,0.9875,False,0.0
three_gene_train,sample_0025,substrate_depl,spots,129.2181303597923,0.2917478510028654,3.0,41.55618304835597,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0026,double_inhibitor,spots,133.81668243034602,0.28172206303724934,2.0,196.85752286668787,0,0.9625,True,1.0,True,0.89,False,0.0
three_gene_train,sample_0027,relay_chain,spots,110.27104750646653,0.3418767908309456,3.0,60.95055153657774,0,0.9475,True,0.9475,True,0.9125,False,0.0
three_gene_train,sample_0028,selfinhib,labyrinth,70.81417271219,0.5323667621776504,4.0,225.92176368866143,0,0.99,True,1.0,True,0.99,False,0.0
three_gene_train,sample_0029,relay_chain,labyrinth,187.07773511970953,0.20151575931232094,2.0,179.47082075032978,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0030,substrate_depl,labyrinth,70.81417271219,0.5323667621776504,4.0,109.55781325772307,0,0.99,True,0.99,True,0.99,False,0.0
three_gene_train,sample_0031,relay_chain,stripes,79.83513569758894,0.4722120343839542,3.0,83.2056852488999,0,0.96,True,0.99,False,0.0,False,0.0
three_gene_train,sample_0032,substrate_depl,spots,70.81417271219,0.5323667621776504,2.0,134.9184487819,0,0.9675,True,0.9675,True,0.9675,False,0.0
three_gene_train,sample_0033,relay_chain,labyrinth,156.02715722779783,0.24161891117478512,2.0,187.3265172691703,0,0.62,True,0.62,False,0.0,False,0.0
three_gene_train,sample_0034,substrate_depl,spots,117.14157280940597,0.3218252148997135,2.0,231.1962928953683,0,0.7225,True,0.7325,False,0.0,True,0.7325
three_gene_train,sample_0035,cross_repress,stripes,89.31680119229944,0.42208309455587395,3.0,124.31985707482964,0,0.99,True,1.0,True,0.99,False,0.0
three_gene_train,sample_0036,double_inhibitor,spots,117.14157280940597,0.3218252148997135,2.0,220.07204977179927,0,0.905,True,0.905,True,0.905,False,0.0
three_gene_train,sample_0037,substrate_depl,labyrinth,96.16979777234158,0.39200573065902583,4.0,116.09557317909452,0,0.57,True,0.5925,True,0.57,False,0.0
three_gene_train,sample_0038,selfinhib,labyrinth,133.81668243034602,0.28172206303724934,2.0,204.90646474041935,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0039,selfinhib,spots,110.27104750646653,0.3418767908309456,4.0,161.56476033896624,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0040,relay_chain,labyrinth,101.35418939107365,0.37195415472779375,3.0,86.08760736616479,0,0.92,True,0.92,True,0.92,False,0.0
three_gene_train,sample_0041,cross_repress,labyrinth,76.58317830753232,0.4922636103151863,3.0,203.5116668642436,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0042,double_inhibitor,labyrinth,138.75461425865362,0.27169627507163324,2.0,117.2664851879334,0,1.0,True,1.0,True,1.0,False,0.0
three_gene_train,sample_0043,substrate_depl,labyrinth,56.03917690978888,0.6727277936962751,4.0,87.46086244009642,0,0.835,True,0.835,True,0.835,False,0.0
three_gene_train,sample_0044,substrate_depl,spots,93.77153306797179,0.40203151862464187,3.0,225.04456351982662,0,0.785,True,0.785,True,0.785,False,0.0
three_gene_train,sample_0045,substrate_depl,spots,85.26612898631963,0.4421346704871061,2.0,75.6319921751886,0,0.8925,True,0.8925,True,0.8925,False,0.0
three_gene_train,sample_0046,cross_repress,labyrinth,113.60252498129837,0.33185100286532954,3.0,176.304759549025,0,0.8575,True,1.0,False,0.0,True,0.8575
three_gene_train,sample_0047,selfinhib,labyrinth,93.77153306797179,0.40203151862464187,2.0,147.13375875003172,0,0.8625,True,0.8625,True,0.8625,False,0.0
